                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4228,                 4.2967,                 1.5587,                0.02335,                0.08571,                0.06965,                0.05242,                0.91486,                 3.9144,                 1.1245,              0.0032843,              0.0032843,              0.0032843
                      2,                   1.03,                 2.2794,                 1.1941,                0.93788,                0.17906,                0.33387,                0.25841,                0.95834,                 3.1212,                 1.1737,              0.0065958,              0.0065958,              0.0065958
                      3,                 1.0438,                 1.9003,                 1.1873,                0.74023,                0.36792,                0.44376,                0.32808,                0.98581,                 2.6212,                 1.2462,              0.0098853,              0.0098853,              0.0098853
                      4,                 1.0552,                  1.712,                 1.1802,                0.62498,                0.40435,                 0.5254,                0.35173,                 1.2189,                 2.2208,                 1.3905,               0.009901,               0.009901,               0.009901
                      5,                 1.0242,                 1.4912,                 1.1623,                 0.7792,                0.51881,                0.62574,                0.39681,                 1.2593,                 1.9592,                 1.3962,               0.009868,               0.009868,               0.009868
                      6,                0.99003,                 1.2963,                 1.1398,                0.73895,                0.67551,                0.79647,                0.58237,                 1.0669,                 1.5225,                 1.2372,               0.009835,               0.009835,               0.009835
                      7,                0.97522,                 1.1623,                 1.1257,                0.78874,                0.62907,                0.81189,                0.56029,                 1.1617,                 1.5369,                 1.3334,               0.009802,               0.009802,               0.009802
                      8,                0.94939,                 1.0328,                 1.1094,                0.68673,                0.61147,                0.69917,                0.46262,                 1.3058,                 1.5217,                 1.4675,               0.009769,               0.009769,               0.009769
                      9,                0.94519,                0.93848,                 1.1073,                0.68776,                0.65949,                0.83327,                0.58145,                 1.1208,                 1.4724,                 1.2896,               0.009736,               0.009736,               0.009736
                     10,                0.92583,                0.84981,                 1.0871,                0.77251,                0.58884,                0.80693,                0.57104,                 1.1566,                 1.9055,                 1.2941,               0.009703,               0.009703,               0.009703
                     11,                0.92308,                0.78429,                 1.0847,                0.76084,                0.90477,                0.91939,                0.64371,                 1.0464,                0.95508,                 1.2614,                0.00967,                0.00967,                0.00967
                     12,                0.92995,                0.75581,                 1.0873,                0.70931,                 0.7275,                0.84505,                0.59543,                 1.0765,                 1.5085,                 1.2839,               0.009637,               0.009637,               0.009637
                     13,                 0.9026,                0.69165,                 1.0698,                0.82302,                0.88137,                0.97546,                0.71025,                0.98732,                0.85353,                 1.1861,               0.009604,               0.009604,               0.009604
                     14,                0.88624,                0.65093,                 1.0646,                 0.8626,                0.70607,                0.82821,                0.62607,                0.95976,                  1.231,                 1.1942,               0.009571,               0.009571,               0.009571
                     15,                0.88557,                0.62202,                 1.0549,                0.87759,                0.81535,                 0.9497,                0.71416,                 0.9521,                0.76501,                 1.1529,               0.009538,               0.009538,               0.009538
                     16,                0.89228,                0.61337,                 1.0594,                0.90305,                0.98952,                0.98151,                0.74064,                0.93229,                0.64682,                 1.1425,               0.009505,               0.009505,               0.009505
                     17,                0.87854,                0.57629,                 1.0509,                 0.8321,                0.93437,                0.95567,                0.71713,                 0.9647,                0.79761,                 1.1608,               0.009472,               0.009472,               0.009472
                     18,                0.87185,                0.57499,                 1.0518,                0.88936,                0.90741,                0.97257,                0.74172,                0.92665,                0.64109,                 1.1415,               0.009439,               0.009439,               0.009439
                     19,                0.86775,                0.56036,                 1.0463,                0.90812,                0.93714,                0.97319,                0.74105,                0.91781,                0.57263,                 1.1409,               0.009406,               0.009406,               0.009406
                     20,                0.85914,                0.54629,                 1.0389,                0.91314,                0.93639,                0.96079,                0.73174,                0.96541,                0.60877,                  1.162,               0.009373,               0.009373,               0.009373
                     21,                0.85895,                0.53382,                 1.0454,                0.91454,                0.90631,                0.97847,                0.75721,                0.87119,                0.62642,                 1.1072,                0.00934,                0.00934,                0.00934
                     22,                0.84669,                0.53349,                 1.0397,                0.91372,                0.95382,                0.97784,                  0.745,                0.95399,                0.56998,                 1.1683,               0.009307,               0.009307,               0.009307
                     23,                0.85278,                0.50647,                  1.035,                0.93062,                0.96507,                0.97927,                 0.7719,                0.84151,                0.55515,                 1.0898,               0.009274,               0.009274,               0.009274
                     24,                0.83802,                0.50348,                 1.0302,                0.84107,                0.91455,                0.97223,                 0.7406,                 0.9166,                0.62948,                 1.1295,               0.009241,               0.009241,               0.009241
                     25,                0.80781,                 0.4983,                 1.0238,                0.90568,                0.98242,                0.98273,                0.77182,                0.85058,                0.49066,                 1.0899,               0.009208,               0.009208,               0.009208
                     26,                0.83745,                0.48738,                 1.0357,                0.84427,                0.83991,                0.93119,                0.69403,                0.98384,                0.72372,                 1.1968,               0.009175,               0.009175,               0.009175
                     27,                0.83554,                0.48429,                 1.0264,                0.86306,                0.90469,                0.95222,                0.66129,                0.99142,                0.79588,                 1.2191,               0.009142,               0.009142,               0.009142
